col1,col2,col3,col4,col5,col6,col7
,,13-51 44 43 Procedure/Minor Operating Room,,,,
,,13-51 44 45 Scrub/Gowning Area,,,,
,,13-51 44 47 Sub-Sterile Room,,,,
,,"13-51 44 50 Operating Room, Sterile Storage",,,,
,,13-51 44 51 Surgical Laser Treatment Room,,,,
,,"13-51 44 53 Recovery Room, Surgical",,,,
,,"13-51 44 55 Surgical Suite, Workroom and Supply Space",,,,
,13-51 47 00 Clinical Laboratory Spaces,,,,,
,,13-51 47 11 Automated Clinical Laboratory,,,,
,,13-51 47 13 Bioassay (Radioimmunoassay) Room,,,,
,,13-51 47 15 Blood Gas Laboratory,,,,
,,13-51 47 17 Blood Hemotherapeutics Room,,,,
,,13-51 47 19 Bone Dissection Laboratory,,,,
,,13-51 47 21 Clinical Chemistry Laboratory,,,,
,,13-51 47 23 Clinical Microbiology Laboratory,,,,
,,13-51 47 25 Cytology Laboratory,,,,
,,13-51 47 27 Cytology Screening and Histology Space,,,,
,,13-51 47 29 Dermatology Laboratory,,,,
,,13-51 47 31 Electron Microscope Suite,,,,
,,13-51 47 33 Electron Microscope System Room,,,,
,,13-51 47 35 Entomology Laboratory,,,,
,,13-51 47 37 Flow Cytometer Space,,,,
,,13-51 47 39 Fluorescence Microscope Room,,,,
,,13-51 47 41 General Clinical Laboratory Area,,,,
,,"13-51 47 43 Hematology Laboratory, Coagulation",,,,
,,"13-51 47 45 Hematology Laboratory, Routine",,,,
,,13-51 47 47 Histology Laboratory,,,,
,,13-51 47 49 Immunopathology Laboratory,,,,
,,13-51 47 51 Microbiology Biosafety Laboratory,,,,
,,13-51 47 53 Microbiology Mycology Laboratory,,,,
,,13-51 47 55 Microbiology Mycobacteriology Laboratory,,,,
,,13-51 47 57 Moh's Laboratory,,,,
,,13-51 47 59 Mycology Laboratory,,,,
,,13-51 47 61 Nephrology Renal Study Space,,,,
,,13-51 47 63 Renal Studies Laboratory,,,,
,,13-51 47 65 Special Chemistry Laboratory,,,,
,,13-51 47 67 Urine Testing Alcove,,,,
,,13-51 47 69 Urinalysis Laboratory,,,,
,,13-51 47 71 Urology Laboratory,,,,
,,13-51 47 73 Medical Autopsy Room,,,,
,13-51 51 00 Clinical Laboratory Support Spaces,,,,,
,,13-51 51 11 Blood Bank Donor Station,,,,
,,13-51 51 13 Blood Bank Preparation Rom,,,,
,,13-51 51 15 Blood Bank Blood Product Storage Space,,,,
,,13-51 51 17 Blood Bank Storage and Transfusion Room,,,,
,,13-51 51 19 Blood Specimen Collection Room,,,,
,,"13-51 51 21 Cell Bank Freezer, Ultra Low",,,,
,,13-51 51 23 Electron Microscope Automated Data Processing Room,,,,
,,13-51 51 25 Electron Microscope Cutting Room,,,,
,,13-51 51 27 Electron Microscope Dark Room,,,,
,,"13-51 51 29 Electron Microscope Developing, Printing and Enlarging Room",,,,
,,13-51 51 31 Electron Microscope Finishing Room,,,,
,,13-51 51 33 Electron Microscope Preparation Room,,,,
,,"13-51 51 35 Glassware Washing and Decontamination Room, Clinical Laboratory",,,,
,,"13-51 51 37 Glassware Washing Room, Clinical Laboratory",,,,
,,"13-51 51 39 Slides and Blocks Storage Room, Clinical Laboratory",,,,
,,"13-51 51 41 Sterilization and Solution Preparation Room, Clinical Laboratory",,,,
,,"13-51 51 43 Tissue Storage Area, Clinical Laboratory",,,,
,,13-51 51 45 Microbiology Media Preparation Laboratory,,,,
,,"13-51 51 47 Specimen Accessioning, Processing and Distribution Room",,,,
,,"13-51 51 49 Laboratory, Water",,,,
,13-51 54 00 Pharmacy Spaces,,,,,
,,13-51 54 11 Chemotherapy Agent Medication Preparation Room,,,,
,,13-51 54 13 Compound Sterile Preparation Space - High Risk,,,,
,,13-51 54 15 Compound Sterile Preparation Space - Low Risk,,,,
,,13-51 54 17 Compounding Area,,,,
,,13-51 54 19 Dialysate Preparation Room,,,,
,,13-51 54 21 IV Admixture Anteroom,,,,
,,13-51 54 23 IV Admixture Room,,,,
,,13-51 54 25 Medication Preparation Room,,,,
,,13-51 54 27 Methadone Dispensing Station,,,,
,,13-51 54 29 Oncology Drug Preparation Area,,,,
,,13-51 54 31 Pharmacy,,,,
,,"13-51 54 32 Pharmacy, Dispensing Space",,,,
,,13-51 54 33 Pharmacy Manufacturing & Prepack Space,,,,
,,13-51 54 35 Prescription Receiving Station,,,,
,,"13-51 54 37 Pharmacy, Bulk, Breakdown and Verification Area",,,,
,,"13-51 54 39 Pharmacy, Controlled Substances and Secured Dispensing",,,,
,13-51 57 00 Medical Services Logistic Spaces,,,,,
,,"13-51 57 11 Automatic Cart Wash Area, Healthcare",,,,
,,"13-51 57 13 BSL3 Infectious Disease Suite, Autoclave Room",,,,
,,"13-51 57 15 BSL3 Suite, Autoclave Room",,,,
,,"13-51 57 17 Cart Assembly/Queue Area, Healthcare",,,,
,,"13-51 57 19 Clean Cart Holding Area, Healthcare",,,,
,,13-51 57 20 Medical Material Cart Restocking Area,,,,
,,"13-51 57 21 Clean Linen Preparation and Storage Area, Healthcare",,,,
,,"13-51 57 23 Clean Supply Preparation and Assembly Area, Healthcare",,,,
,,"13-51 57 25 Clean Supply Preparation Area, Healthcare",,,,
,,"13-51 57 27 Equipment Processing and Clean Storage Room, Healthcare",,,,
,,13-51 57 29 Ethylene Oxide Gas Sterilizer Room,,,,
,,13-51 57 31 Instrument Sterilization Room,,,,
,,"13-51 57 32 Central Sterile, Receiving and Decontamination",,,,
,,"13-51 57 33 Manual Cart Wash Area, Healthcare",,,,
,,"13-51 57 35 Soiled Cart Holding Area, Healthcare",,,,
,,"13-51 57 37 Soiled Cart Receiving Area, Healthcare",,,,
,,"13-51 57 39 Soiled Instrument and Equipment Receiving and Decontamination Room, Healthcare",,,,
,,"13-51 57 41 Sterile Supply Preparation and Assembly Area, Healthcare",,,,
,,13-51 57 43 Biomedical Electronic Repair,,,,
,13-51 61 00 Rehabilitation Spaces,,,,,
,,13-51 61 11 Amputee Training Area,,,,
,,13-51 61 13 Brace Shop Fitting Shop,,,,
,,"13-51 61 15 Brace Shop , Adjustment/Modification Area",,,,
,,13-51 61 17 Brace Shop Welding Area,,,,
,,"13-51 61 19 Computer Activities Room, Rehabilitation",,,,
,,"13-51 61 21 Prosthesis Design and Manufacturing Room, Rehabilitation",,,,
,,13-51 61 23 Dynamic Alignment Room,,,,
,,13-51 61 25 Therapeutic Exercise Spaces,,,,
,,,13-51 61 25 11 Therapeutic Exercise Area,,,
,,,13-51 61 25 13 Exercise/Therapy Gymnasium,,,
,,,13-51 61 25 15 Individual Therapeutic Exercise Area,,,
,,,13-51 61 25 17 Treatment/Exercise Area,,,
,,13-51 61 27 Eye Fitting Studio,,,,
,,13-51 61 29 Facial/Body Fitting Studio,,,,
,,"13-51 61 31 Fitting Room, Custom Fabrication",,,,
,,"13-51 61 33 Fitting Room, Soft Goods Fabrication",,,,
,,13-51 61 35 Gait Lane,,,,
,,13-51 61 37 Gait Study Track,,,,
,,13-51 61 39 Hearing Aid Fabrication and Modification Room,,,,
,,13-51 61 41 Hubbard Tank - Full Immersion,,,,
,,13-51 61 43 Hubbard Tank - Partial Immersion,,,,
,,13-51 61 45 Hydrotherapy Area,,,,
,,13-51 61 47 Neurophysiology Rehabilitation Room,,,,
,,13-51 61 49 Occupational Therapy Room,,,,
,,"13-51 61 50 Occupational Therapy, Daily Living Skills Training and Evaluation Room",,,,
,,13-51 61 51 Pediatric Developmental Therapy Space,,,,
,,13-51 61 53 Physical Therapy/Kinesiology Therapy Room,,,,
,,13-51 61 55 Posturography Exam Room,,,,
,,13-51 61 57 Prosthetic and Orthotic Dust Room,,,,
,,13-51 61 59 Prosthetic and Orthotic Fume Room,,,,
,,13-51 61 61 Prosthetic and Orthotic Work Station,,,,
,,"13-51 61 63 Prosthetic and Orthotic, Maintenance Support Room",,,,
,,13-51 61 65 Rehabilitation Therapy Gym,,,,
,,13-51 61 67 Speech Pathology Individual Therapy Room,,,,
,,"13-51 61 68 Speech Therapist, Exam and Treatment Space",,,,
,,13-51 61 69 Therapeutic Pool,,,,
,,13-51 61 71 Wheelchair Repair Workspace,,,,
,,13-51 61 73 Whirlpool,,,,
,,13-51 61 75 Rehabilitation Living Skills Training Apartment,,,,
,13-51 64 00 Dental Spaces,,,,,
,,13-51 64 11 Dental CS Suite,,,,
,,13-51 64 13 Dental Hygiene and Operatory Room,,,,
,,13-51 64 15 Dental Hygiene Room,,,,
,,13-51 64 17 Dental Porcelain Room,,,,
,,13-51 64 19 Dental Prosthetics Laboratory,,,,
,,13-51 64 21 Dental Screening Room,,,,
,,13-51 64 23 Dental Self Preparation Area,,,,
,,"13-51 64 25 Dental Treatment t Room, Mini Laboratory",,,,
,,13-51 64 27 Dental Treatment Room,,,,
,,"13-51 64 29 Dental Treatment Room, Conscious Sedation Support",,,,
,,"13-51 64 31 Dental Treatment Room, Endodontics",,,,
,,"13-51 64 33 Dental Treatment Room, Orthodontics",,,,
,,"13-51 64 35 Dental Treatment Room, Pediatrics",,,,
,,"13-51 64 37 Dental Treatment Room, Periodontics",,,,
,,"13-51 64 39 Dental Treatment Room, Prosthodontics",,,,
,,13-51 64 41 Dental X-Ray Room,,,,
,,13-51 64 43 Instrument Preparation and Sterilization Room,,,,
,,13-51 64 45 Maxillo-Facial Laboratory,,,,
,,13-51 64 47 Maxillo-Facial Treatment Room,,,,
,,13-51 64 49 Oral Pathology Laboratory,,,,
,,13-51 64 51 Oral Surgery Residency Room,,,,
,,13-51 64 53 Oral Surgery Room,,,,
,,13-51 64 55 Panoramic Dental X-Ray Room,,,,
,,13-51 64 57 Dental X-Ray Support Room,,,,
,13-51 67 00 Medical Research and Development Spaces,,,,,
,,13-51 67 11 Research Animal Recovery Area,,,,
,,"13-51 67 13 Barrier Suite, Procedure Laboratory",,,,
,,13-51 67 15 Biomedical Research BSL3 Suite Tissue Culture Room,,,,
,,13-51 67 17 Biomedical Research Tissue Culture Room,,,,
,,"13-51 67 18 Laboratory, Research, Biochemistry",,,,
,,13-51 67 19 Biosafety Level 3 Laboratory,,,,
,,"13-51 67 21 BSL3 Infectious Disease Suite, Procedure Laboratory",,,,
,,13-51 67 23 BSL3 Procedure Room,,,,
,,13-51 67 25 Environmental Suite Infectious Disease Procedure Laboratory,,,,
,,13-51 67 27 Research Infectious Disease Animal Holding Area,,,,
,,13-51 67 29 Research Veterinary Radiography Control Room,,,,
,,13-51 67 31 Research and Development Machine Shop,,,,
,,13-51 67 33 Research Veterinary Radiography Procedure Room,,,,
,,13-51 67 35 Research Diagnostic Laboratory,,,,
,,13-51 67 37 Research NMR Room,,,,
,,13-51 67 39 Research Procedure Laboratory,,,,
,,"13-51 67 41 Research Veterinary Surgical Suite, Animal Preparation Room",,,,
,,13-51 67 43 Research Veterinary BSL3 Infectious Disease Suite Holding Room,,,,
,,13-51 67 45 Research Veterinary Barrier Suite Holding Room,,,,
,,13-51 67 47 Research Veterinary Chemical/Radioisotope Suite Holding Room,,,,
,,13-51 67 49 Research Veterinary Environmental Suite Holding Room,,,,
,,13-51 67 51 Research Veterinary Quarantine Holding Room,,,,
,,13-51 67 53 Research Veterinary Surgery Room,,,,
,13-51 91 00 Veterinary Spaces,,,,,
,,13-51 91 11 Hospitalization Kennel,,,,
,,13-51 91 14 Infectious Disease Animal Holding Area,,,,
,,13-51 91 17 Veterinary Radiography Control Room,,,,
,,13-51 91 20 Veterinary Radiography Procedure Room,,,,
,,"13-51 91 23 Veterinary Surgical Suite, Animal Preparation Room",,,,
,,13-51 91 26 Veterinary BSL3 Infectious Disease Suite Holding Room,,,,
,,13-51 91 29 Veterinary Barrier Suite Holding Room,,,,
,,13-51 91 32 Veterinary Examination and Treatment Room,,,,
,,13-51 91 35 Veterinary Quarantine Holding Room,,,,
,,13-51 91 38 Veterinary Surgery Room,,,,
,,13-51 91 41 Cage Wash Area,,,,
,,13-51 91 44 Veterinary Food Preparation Room,,,,
13-53 00 00 Laboratory Spaces,,,,,,
,13-53 11 00 Chemistry Laboratories,,,,,
,13-53 13 00 Biosciences Laboratories,,,,,
,13-53 15 00 Physical Sciences Laboratories,,,,,
,,13-53 15 11 Optical Physics Laboratory,,,,
,,13-53 15 13 Physics Research Laboratory,,,,
,13-53 17 00 Astronomy Laboratories,,,,,
,,13-53 17 11  Astronomy Research Laboratory,,,,
,13-53 19 00 Earth and Environmental Sciences Laboratories,,,,,
,,13-53 19 11 Geology Laboratory,,,,
,,13-53 19 13 Earth Sciences Research Laboratory,,,,
,13-53 21 00 Forensics Laboratories,,,,,
,13-53 23 00 Psychology Laboratories,,,,,
,13-53 25 00 Bench Laboratories,,,,,
,13-53 27 00 Dry Laboratories,,,,,
,13-53 29 00 Integration Laboratories,,,,,
,13-53 31 00 Wet Laboratories,,,,,
,13-53 33 00 Laboratory Storage Spaces,,,,,
,13-53 35 00 Laboratory Support Spaces,,,,,
13-55 00 00 Commerce Activity Spaces,,,,,,
,13-55 11 00 Office Spaces,,,,,
,,13-55 11 11 Office Service,,,,
,,13-55 11 13 Dedicated Enclosed Workstation,,,,
,,13-55 11 15 Shared Enclosed Workstation,,,,
,,13-55 11 17 Dedicated Open Workstation,,,,
,,13-55 11 19 Shared Open Workstation,,,,
,,13-55 11 21 Open Team Setting,,,,
,,13-55 11 23 General File and Storage,,,,
,,13-55 11 25 Shared Workstation File and Storage,,,,
,,13-55 11 27 Shared Equipment Station,,,,
,,13-55 11 29 Lookout Gallery,,,,
,13-55 13 00 Banking Spaces,,,,,
,,13-55 13 11 Bank Teller Space,,,,
,,13-55 13 13 Automatic Teller Machine Space,,,,
,,13-55 13 15 Vault,,,,
,13-55 15 00 Trading Spaces,,,,,
,,13-55 15 11 Trading Floor,,,,
,13-55 17 00 Demonstration Spaces,,,,,
,13-55 19 00 Sales Spaces,,,,,
,,13-55 19 11 Checkout Space,,,,
,,13-55 19 13 Display Space,,,,
,,13-55 19 15 Fitting Space,,,,
,,13-55 19 17 Vending Machine Area,,,,
,,13-55 19 19 Auction Room,,,,
,,13-55 19 21 Pet Shop Animal Space,,,,
,13-55 21 00 Commercial Service and Repair Spaces,,,,,
,13-55 23 00 Commercial Support Spaces,,,,,
,"13-55 27 00 Hotel, Motel, Hostel, and Dormitory Service Spaces",,,,,
,,13-55 27 11 Dormitory,,,,
,,13-55 27 13 Hotel Residence Room,,,,
,13-55 29 00 Commerce Activity Support Areas,,,,,
,,13-55 29 11 Information Counter,,,,
,,13-55 29 13 Lobby Non-Circulation Space,,,,
,,13-55 29 15 Post Office Space,,,,
,,13-55 29 17 Mail Room Space,,,,
,,13-55 29 19 Box Lobby,,,,
,,13-55 29 21 Meeting Spaces,,,,
,,,13-55 29 21 11 Conference Room,,,
,,,13-55 29 21 13 Press Conference Room,,,
,,,13-55 29 21 15 Community Room,,,
,,,13-55 29 21 17 War Room,,,
,,,13-55 29 21 19 Meeting Equipment Room,,,
,,13-55 29 23 Waiting Space,,,,
,,,13-55 29 23 11 Reception Space,,,
,,,13-55 29 23 13 Waiting Room,,,
,,,13-55 29 23 15 Queuing Space,,,
,,13-55 29 25 Business Support Space,,,,
13-57 00 00 Service Activity Spaces,,,,,,
,13-57 11 00 Grooming Activity Spaces,,,,,
,,13-57 11 11 Makeup Space,,,,
,,13-57 11 13 Haircutting Space,,,,
,13-57 13 00 Food Service,,,,,
,,13-57 13 11 Cooking Spaces,,,,
,,13-57 13 13 Kitchen Space,,,,
,,,13-57 13 13 11 Food Preparation Space,,,
,,,13-57 13 13 13 Cooking Space,,,
,,,13-57 13 13 15 Dishwashing Station,,,
,,13-57 13 15 Dining and Drinking Spaces,,,,
,,,13-57 13 15 11 Dining Room,,,
,,,13-57 13 15 13 Banquet Hall,,,
,,,13-57 13 15 15 Food Court,,,
,,,13-57 13 15 17 Snack Bar,,,
,,,13-57 13 15 19 Salad Bar,,,
,,,13-57 13 15 21 Liquor Bar,,,
,,,13-57 13 15 23 Beverage Station,,,
,,,13-57 13 15 25 Table Bussing Station,,,
,,,13-57 13 15 27 Serving Station,,,
,,,13-57 13 15 29 Vending Perishable Product Space,,,
,,,13-57 13 15 31 Cafeteria Vending Space,,,
,,,13-57 13 15 33 Tray Return Space,,,
,,,13-57 13 15 35 Food Discard Station,,,
,,13-57 13 17 Coffee stations,,,,
,13-57 15 00 Child Care Spaces,,,,,
,,13-57 15 11 Daycare sickroom,,,,
,,13-57 15 13 Child Day Care Space,,,,
,,13-57 15 15 Play Room,,,,
,,13-57 15 17 CLD–Child Care,,,,
,13-57 17 00 Resting Spaces,,,,,
,,13-57 17 11 Rest Area,,,,
,,13-57 17 13 Break Room,,,,
,13-57 21 00 Laundry/Dry Cleaning Space,,,,,
,13-57 23 00 Smoking Space,,,,,
"13-59 00 00 Production, Fabrication, and Maintenance Spaces",,,,,,
,13-59 11 00 Material Handling Area,,,,,
,13-59 13 00 Batching Space,,,,,
,13-59 15 00 Production Process,,,,,
,,13-59 15 11 Workbench,,,,
,,13-59 15 13 Mock-up Space,,,,
,13-59 17 00 Printing and Reproduction Spaces,,,,,
,13-59 19 00 Quality Control and Test Spaces,,,,,
,,13-59 19 11 Product Inspection Space,,,,
,,13-59 19 13 Production Observation Space,,,,
,13-59 21 00 Production Service and Repair Spaces,,,,,
,13-59 23 00 Production and In-Process Storage Spaces,,,,,
,13-59 25 00 Production Support Spaces,,,,,
,13-59 29 00 Greenhouse Spaces,,,,,
,,13-59 29 11 Greenhouse Support Space,,,,
13-61 00 00 Protective Spaces,,,,,,
,13-61 11 00 Animal Securing Spaces,,,,,
,,13-61 11 11 Cage,,,,
,,13-61 11 13 Animal Stall,,,,
,,13-61 11 15 Kennel,,,,
,,13-61 11 17 Aquarium,,,,
,13-61 13 00 Detention Spaces,,,,,
,,13-61 13 11 Detention Cell,,,,
,,13-61 13 13 Holding Cell,,,,
,,13-61 13 15 Impound Lot,,,,
,,13-61 13 17 Dayroom,,,,
,13-61 15 00 Spaces for Protection from the Elements,,,,,
,,13-61 15 11 Park Shelter,,,,
,,13-61 15 13 Entry Porch,,,,
,,13-61 15 15 Covered Walkway,,,,
,,13-61 15 17 Canopy,,,,
,,13-61 15 19 Shielded Room,,,,
,,13-61 15 21 Containment Room,,,,
,13-61 17 00 Spaces for Protection from Violence,,,,,
,,13-61 17 11 Safe Room,,,,
,,13-61 17 13 Bunker,,,,
,,13-61 17 15 Bomb Shelter,,,,
13-63 00 00 Storage Spaces,,,,,,
,13-63 11 00 Warehouse Spaces,,,,,
,,13-63 11 11 High Bay Warehouse Space,,,,
,,13-63 11 13 General Warehouse Space,,,,
,,13-63 11 15 Warehouse Support Space,,,,
,13-63 13 00 Non-Warehouse Storage Spaces,,,,,
,,13-63 13 11 Storage Room,,,,
,,,13-63 13 11 11 GNS–General Storage,,,
,,13-63 13 13 Closet,,,,
,,13-63 13 15 Coat Check,,,,
,,13-63 13 17 Locker Room,,,,
,,13-63 13 19 Filing Space,,,,
,,13-63 13 21 Supply Room,,,,
,,13-63 13 23 Unit Storage,,,,
,,13-63 13 25 Consolidation/Containerization Point,,,,
,,13-63 13 27 Self Storage Space,,,,
,,13-63 13 29 Operational Storage (Misc),,,,
,,13-63 13 31 Operational Hazardous/Flammable Storage,,,,
,13-63 15 00 Moveable Storage Spaces,,,,,
,,13-63 15 11 Vehicle Storage Compartment,,,,
,,13-63 15 13 Portable Bin,,,,
,,13-63 15 15 Vessel Hold,,,,
,13-63 17 00 Environmentally Controlled Storage Spaces,,,,,
,,13-63 17 11 Refrigeration Compartment,,,,
,,13-63 17 13 Freezing Compartment,,,,
,,13-63 17 15 Humidity Controlled Storage Space,,,,
,,13-63 17 17 Vacuum Sealed Storage Compartment,,,,
,13-63 19 00 Specialty Storage Spaces,,,,,
,,13-63 19 11 Sanitary Storage Room,,,,
,,13-63 19 13 Soiled Storage Room Space,,,,
,,13-63 19 15 Sacristy,,,,
,,13-63 19 17 Vestry,,,,
,,13-63 19 19 Hazardous Material Storage Space,,,,
,,13-63 19 21 Book Stacks,,,,
,,13-63 19 23 Baggage Claim,,,,
,,13-63 19 25 Evidence Room,,,,
,,13-63 19 27 Vehicle Impound Lot,,,,
,,13-63 19 29 Operating Fuel Storage,,,,
13-65 00 00 Private Residential Spaces,,,,,,
,13-65 11 00 On-call Room,,,,,
,13-65 13 00 Bathroom,,,,,
,,13-65 13 11 Shower Space,,,,
,,13-65 13 13 Toilet Space,,,,
,,13-65 13 15 Ablution Room,,,,
,,13-65 13 17 Combination Toilet and Bathing Space,,,,
,13-65 15 00 Mud Room,,,,,
,13-65 17 00 Laundry Room,,,,,
,13-65 19 00 Bedroom,,,,,
,,13-65 19 11 Mental Health Resident Bedroom,,,,
,,"13-65 19 13 Mental Health Resident Bedroom, Bariatric",,,,
,13-65 21 00 Nursery,,,,,
,13-65 23 00 Kitchen,,,,,
13-67 00 00 Alternate Workplace,,,,,,
,13-67 11 00 Customer Site,,,,,
,13-67 13 00 Home Office,,,,,
,13-67 15 00 Rent-An-Office,,,,,
,13-67 17 00 No Fixed Location,,,,,
,13-67 19 00 Supplier Site,,,,,
13-69 00 00 Building Associated Spaces,,,,,,
,13-69 11 00 Roof,,,,,
,13-69 13 00 Roof Terrace,,,,,
,13-69 15 00 Penthouse,,,,,
,13-69 17 00 Antenna Farm,,,,,
,13-69 19 00 Heliport,,,,,
,13-69 21 00 Balcony,,,,,
,13-69 23 00 Deck,,,,,
,13-69 25 00 Pedestrian Travel Spaces,,,,,
,,13-69 25 11 Sidewalk,,,,
,,13-69 25 13 Pedestrian Way,,,,
,,13-69 25 15 Pedestrian Bridge,,,,
,,13-69 25 17 Footpath,,,,
,,13-69 25 19 Trail,,,,
,,13-69 25 21 Gangway,,,,
