Assembly-AssemblyType,Category-Connection,Category-Coordinate,Category-Document,Category-Element,Category-Facility,Category-Floor,Category-Impact,Category-Issue,Category-Job,Category-Product,Category-Resource,Category-Role,Category-Space,Category-Spare,Category-Zone,Document-ApprovalBy,Impact-ImpactStage,Issue-Chance,Issue-Impact,Issue-Risk,Job-Status,SheetName,SheetName-Assembly,SheetName-Coordinate,Stage,Type-AssetType,Units-Area,Units-Currency,Units-Duration,Units-Impact,Units-Linear,Units-Volume,objAssembly,objAttribute,objAttributeType,objComponent,objConnection,objContact,objCoordinate,objDocument,objFacility,objFloor,objImpact,objIssue,objJob,objProject,objResource,objSite,objSpace,objSpare,objSystem,objType,objWarranty,objZone
,,,,21-04 60 20 40 Call Accounting,"11-27 48 11 Administrative Structure, Underground",,,,,23-13 19 11 Thin Flexible Sheets ,,,"13-51 14 35 33 Patient Room, Two-Bed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 60 20 50 Call Management,11-27 48 15 Alternate Joint Communications Center,,,,,23-13 19 11 11 Thin Sheets,,,13-51 17 00 Multi-Medical Service Support Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 60 30 Audio-Video Communication,"11-27 52 00 Administrative Structure, Other Than Building",,,,,23-13 19 11 11 11 Thin Metal Sheets,,,"13-51 17 11 Clean Linen Storage Room, Healthcare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 60 30 10 Audio-Video Systems,11-27 55 00 Operational Support Building,,,,,23-13 19 11 11 13 Thin Wood Sheets,,,"13-51 17 13 Clean Supply Room, Healthcare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 60 30 50 Electronic Digital Systems,11-27 55 11 Operations Support Lab,,,,,23-13 19 11 11 15 Building Papers,,,"13-51 17 15 Clean Utility Room, Healthcare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 60 60 Distributed Communications and Monitoring,11-27 55 15 Operations Supply Building,,,,,23-13 19 11 11 17 Thin Plastic Sheets,,,"13-51 17 17 Consultation Room, Patient",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 60 60 10 Distributed Audio-Video Communications Systems,11-27 55 19 Miscellaneous Operations Support Building,,,,,23-13 19 11 11 19 Thin Rubber Sheets,,,13-51 17 19 Mental Health Interview/Counseling Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 60 60 30 Healthcare Communications and Monitoring,11-27 55 21 Logistics,,,,,23-13 19 11 13 Textiles,,,"13-51 17 21 Equipment Storage Room, Healthcare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 60 60 50 Distributed Systems,11-27 55 22 Logistics Support Building,,,,,23-13 19 11 15 Mesh for General Use,,,13-51 17 22 Medical Records Storage Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 60 90 Communications Supplementary Components,11-27 55 23 Working Animal Support Building,,,,,"23-13 19 13 Rigid Sheets, Slabs, Plates",,,13-51 17 23 Nurse Workspaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 60 90 10 Supplementary Components,11-29 00 00 Research Facility,,,,,23-13 19 13 11 Solid Sheets,,,13-51 17 23 11 Nurse Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 70 Electronic Safety and Security,11-29 12 00 Scientific Research and Development Facility,,,,,23-13 19 13 11 11 Solid Stone Sheets,,,13-51 17 23 13 Nurse Station/Communication Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 70 10 Access Control and Intrusion Detection,11-29 12 11 Physical Sciences Research and Development Facility,,,,,23-13 19 13 11 13 Solid Cementitious Sheets,,,13-51 17 23 15 Nurse Sub-Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 70 10 10 Access Control,11-29 12 11 11 Chemical Research Facility,,,,,23-13 19 13 11 15 Solid Mineral Sheets,,,13-51 17 23 17 Nurse Triage Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 70 10 50 Intrusion Detection,11-29 12 14 Engineering Research and Development Facility,,,,,23-13 19 13 11 17 Solid Glass Sheets,,,"13-51 17 25 Soiled Utility Room, Healthcare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 70 30 Electronic Surveillance,11-29 12 14 14 Computing Research Facility,,,,,23-13 19 13 11 19 Solid Metal Sheets,,,"13-51 17 27 Soiled Utility/Supply Room, Healthcare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 70 30 10 Video Surveillance,11-29 12 14 17 Nanotechnology Research Facility,,,,,23-13 19 13 11 21 Solid Wood Based Sheets,,,13-51 17 29 Mental Health Multipurpose Room w/Control Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 70 30 50 Electronic Personal Protection,11-29 12 14 20 Electronics Research Facility,,,,,23-13 19 13 11 23 Solid Plastic Sheets,,,13-51 17 31 Resuscitation Cart Alcove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 70 50 Detection and Alarm,11-29 12 14 23 Engineering Research Facility,,,,,23-13 19 13 11 25 Solid Resin Sheets,,,13-51 17 35 Mental Health Quiet Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 70 50 10 Fire Detection and Alarm,11-29 12 14 33 Nuclear Research Facility,,,,,23-13 19 13 11 27 Solid Fiberglass Sheets,,,13-51 21 00 Diagnostic Imaging Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 70 50 20 Radiation Detection and Alarm,11-29 12 18 Life Sciences Research and Development Facility,,,,,23-13 19 13 13 Hollow Core Sheets,,,13-51 21 11 Angiographic Procedure Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 70 50 30 Fuel-Gas Detection and Alarm,11-29 12 18 11 Life Sciences Research Facility,,,,,23-13 19 13 13 11 Wood Based Hollow Core Sheets,,,13-51 21 13 Bone Densitometry Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 70 50 40 Fuel-Oil Detection and Alarm,11-29 12 18 15 Biomedical Research Facility,,,,,23-13 19 13 13 13 Mineral Hollow Core Sheets,,,13-51 21 15 CT Scanning Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 70 50 50 Refrigeration Detection and Alarm,11-29 12 18 17 Biometrics Research Facility,,,,,23-13 19 13 13 15 Metal Hollow Core Sheets,,,13-51 21 17 CT Simulator Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 70 50 60 Water Intrusion Detection and Alarm,11-29 12 18 19 Agricultural Research and Development Facility,,,,,23-13 19 13 13 17 Plastic Hollow Core Sheets,,,13-51 21 19 Cystoscopic Radiology Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 70 70 Electronic Monitoring and Control,11-29 12 18 21 Forensics Research Facility,,,,,23-13 19 15 Gratings,,,13-51 21 21 Head Radiographic Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 70 70 10 Electronic Detention Monitoring and Control,11-29 12 18 27 High Hazard Research Facility,,,,,"23-13 19 17 Blankets, Quilts",,,13-51 21 23 Mammography Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 70 90 Electronic Safety and Security Supplementary Components,11-29 12 18 31 Hazardous Materials Containment Research Facility,,,,,23-13 21 00 Blocks and Bricks,,,13-51 21 25 Mobile Imaging System Alcove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 70 90 10 Supplementary Components,11-29 12 25 Social and Behavioral Sciences Research and Development Facility,,,,,23-13 21 11 Concrete Masonry Units,,,13-51 21 27 MRI Scanning Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 80 Integrated Automation,11-29 28 00 Manufacturing Research and Development Facility,,,,,23-13 21 11 11 Concrete Blocks,,,13-51 21 29 MRI System Component Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 80 10 Integrated Automation Facility Controls,11-29 28 11 Research Development Test and Evaluation Technical Service Facility,,,,,23-13 21 11 13 Exposed Aggregate Concrete Masonry Units,,,13-51 21 31 PET/CT Scanning Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 80 10 10 Integrated Automation Control of Equipment,11-29 28 15 Food Manufacturing Research Development Test and Evaluation Facility,,,,,23-13 21 11 15 Fluted Concrete Masonry Units,,,13-51 21 33 PET/CT Simulator Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 80 10 20 Integrated Automation Control of Conveying Equipment,11-29 28 19 Beverage and Tobacco Manufacturing Research Development Test and Evaluation Facility,,,,,23-13 21 11 17 Interlocking Concrete Masonry Units,,,13-51 21 35 Radiographic Chest Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 80 10 30 Integrated Automation Control of Fire-Suppression Systems,11-29 28 23 Textile Mill and Textile Product Manufacturing Research Development Test and Evaluation Facility,,,,,23-13 21 11 19 Molded Face Concrete Masonry Units,,,13-51 21 37 Radiographic Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 80 10 40 Integrated Automation Control of Plumbing Systems,11-29 28 27 Leather and Allied Product Manufacturing Research Development Test and Evaluation Facility,,,,,23-13 21 11 21 Prefaced Concrete Masonry Units,,,13-51 21 39 Radiographic/Fluoroscopic Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 80 10 50 Integrated Automation Control of HVAC Systems,11-29 28 31 Wood Product Manufacturing Research Development Test and Evaluation Facility,,,,,23-13 21 11 23 Preinsulated Concrete Masonry Units,,,13-51 21 41 Radiographic/Tomographic Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 80 10 60 Integrated Automation Control of Electrical Systems,"11-29 28 35 Pulp, Paper, and Paperboard Manufacturing Research Development Test and Evaluation Facility",,,,,23-13 21 11 25 Sound Absorbing Concrete Masonry Units,,,13-51 21 43 Radiology Computer Systems Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 80 10 70 Integrated Automation Control of Communication Systems,11-29 28 39 Petroleum and Coal Products Manufacturing Research Development Test and Evaluation Facility,,,,,23-13 21 11 27 Split Face Concrete Masonry Units,,,13-51 21 45 Stereotactic Mammography Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 80 10 80 Integrated Automation Control of Electronic Safety and Security Systems,11-29 28 43 Chemical Manufacturing Research Development Test and Evaluation Facility,,,,,23-13 21 13 Calcium Silicate Masonry Units,,,13-51 21 47 Ultrasound Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-04 80 10 90 Integrated Automation Supplementary Components,11-29 28 47 Plastics and Rubber Products Manufacturing Research Development Test and Evaluation Facility,,,,,23-13 21 15 Glass Masonry Units,,,13-51 21 49 Ultrasound/Optical Coherence Tomography Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 00 00 Equipment and Furnishings,11-29 28 51 Nonmetallic Mineral Product Manufacturing Research Development Test and Evaluation Facility,,,,,23-13 21 17 Adobe Masonry Units,,,13-51 21 51 Whole Body Scanning Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 Equipment,11-29 28 55 Primary Metal Manufacturing Research Development Test and Evaluation Facility,,,,,23-13 21 19 Clay Masonry Units,,,13-51 24 00 Diagnostic Imaging Support Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 10 Vehicle and Pedestrian Equipment,11-29 28 55 11 Fabricated Metal Product Manufacturing Research Development Test and Evaluation Facility,,,,,23-13 21 19 11 Common Bricks,,,13-51 24 11 Angiographic Control Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 10 10 Vehicle Servicing Equipment,11-29 28 55 15 Weapons Research Development Test and Evaluation Facility,,,,,23-13 21 19 13 Face Bricks,,,13-51 24 13 Angiographic Instrument Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 10 30 Interior Parking Control Equipment,"11-29 28 55 21 Ammunition, Explosive, and Toxic Research Development Test and Evaluation Facility",,,,,23-13 21 19 15 Fire Bricks,,,13-51 24 15 Angiographic Procedure Control Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 10 50 Loading Dock Equipment,11-29 28 59 Research Development Test and Evaluation Range Facilities,,,,,23-13 21 19 17 Glazed Bricks,,,13-51 24 17 Angiographic System Component Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 10 70 Interior Pedestrian Control Equipment,11-29 28 59 11 Machinery Manufacturing Research Development Test and Evaluation Facility,,,,,23-13 21 19 19 Ceramic Glazed Clay Masonry Units,,,"13-51 24 19 Silver Collection Area, Diagnostic Imaging",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 30 Commercial Equipment,"11-29 28 63 Propulsion Research Development Test and Evaluation Facility 
(or Engine, Turbine, and Power Transmission Equipment Manufacturing Research Development Test and Evaluation Facility)",,,,,23-13 21 19 21 Clay Tile,,,13-51 24 21 Computed Radiology Reader Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 30 10 Mercantile and Service Equipment,11-29 28 67 Computer and Electronic Product Manufacturing Research Development Test and Evaluation Facility,,,,,23-13 21 19 23 Structural Clay Tiles,,,"13-51 24 23 Computer Image Processing Area, Diagnostic Imaging",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 30 20 Vault Equipment,"11-29 28 71 Electrical Equipment, Appliance, and Component Manufacturing Research Development Test and Evaluation Facility",,,,,23-13 21 19 25 Clay Flue Linings,,,"13-51 24 24 X-Ray, Digital Image Storage Space",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 30 25 Teller and Service Equipment,11-29 28 71 11 Transportation Equipment Manufacturing Research Development Test and Evaluation Facility,,,,,23-13 21 19 27 Terra Cotta Units,,,13-51 24 25 CT Control Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 30 30 Refrigerated Display Equipment,11-29 28 71 15 Aircraft Research Development Test and Evaluation Facility,,,,,23-13 21 21 Masonry Anchorage and Reinforcement,,,13-51 24 27 CT Power and Equipment Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 30 35 Commercial Laundry and Dry Cleaning Equipment,11-29 28 71 19 Missile and Space Research Development Test and Evaluation Facility,,,,,23-13 21 21 11 Masonry Reinforcing,,,13-51 24 29 Image Quality Control Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 30 40 Maintenance Equipment,11-29 28 71 23 Ship and Marine Research Development Test and Evaluation Facility,,,,,23-13 21 21 11 11 Continuous Joint Reinforcing,,,13-51 24 31 Image Reading Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 30 50 Hospitality Equipment,11-29 28 71 27 Tank and Automotive Research Development Test and Evaluation Facility,,,,,23-13 21 21 11 13 Reinforcing Bars,,,"13-51 24 32 X-Ray, Plane Film Storage Space",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 30 55 Unit Kitchens,11-29 28 71 31 Underwater Equipment Research Development Test and Evaluation Facility,,,,,23-13 21 21 13 Masonry Ties,,,13-51 24 33 Mammography Processing Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 30 60 Photographic Processing Equipment,11-35 00 00 Production Facility,,,,,23-13 21 21 13 11 Flexible Masonry Ties,,,"13-51 24 34 X-Ray Film, Daylight Processing Space",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"21-05 10 30 70 Postal, Packaging, and Shipping Equipment",11-35 11 00 Manufacturing Facility,,,,,23-13 21 21 13 13 Masonry Veneer Ties,,,13-51 24 35 MRI Control Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 30 75 Office Equipment,11-35 11 11 Pharmaceutical or Biotechnology Manufacturing Facility,,,,,23-13 21 21 13 15 Rigid Masonry Ties,,,13-51 24 37 MRI Equipment Storage Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 30 80 Foodservice Equipment,11-35 11 14 Food Processing and Manufacturing Facility,,,,,23-13 21 21 15 Masonry Anchors,,,13-51 24 39 MRI Viewing Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 40 Institutional Equipment,11-35 11 17 Beverage or Tobacco Manufacturing Facility,,,,,23-13 21 21 15 11 Masonry Veneer Anchors,,,13-51 24 41 PET/CT Control Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 40 10 Educational and Scientific Equipment,11-35 11 21 Textile Manufacturing Facility,,,,,23-13 21 21 15 13 Stone Masonry Anchors,,,13-51 24 43 Radiographic Control Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 40 20 Healthcare Equipment,11-35 11 23 Leather and Allied Industry Manufacturing Facility,,,,,23-13 21 23 Special Profiles for Masonry ,,,13-51 24 45 Radiographic Darkroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 40 40 Religious Equipment,11-35 11 26 Wood Product Manufacturing Facility,,,,,23-13 21 23 11 Special Masonry Shapes,,,13-51 24 47 Tele-Radiology/Tele-Medicine Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 40 60 Security Equipment,11-35 11 29 Paper Manufacturing Facility,,,,,23-13 21 23 13 Masonry Sills and Thresholds,,,"13-51 24 49 Viewing/Consultation Room, Diagnostic Imaging",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 40 70 Detention Equipment,11-35 11 32 Printing Facility,,,,,23-13 21 23 15 Masonry Moldings,,,"13-51 24 51 X-Ray, Mobile C-Arm Alcove",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 60 Residential Equipment,11-35 11 35 Petroleum or Coal Products Manufacturing Facility,,,,,23-13 21 23 17 Masonry Copings,,,13-51 27 00 Radiation Diagnostic and Therapy Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 60 10 Residential Appliances,11-35 11 38 Chemical Manufacturing Facility,,,,,23-13 21 23 19 Masonry Quoins,,,"13-51 27 11 Equipment Calibration Space, Radiation Diagnostic and Therapy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 60 50 Retractable Stairs,"11-35 11 41 Ammunition, Explosives, and Toxics Production Facility",,,,,23-13 21 23 21 Masonry Cornices,,,13-51 27 13 Health Physics Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 60 70 Residential Ceiling Fans,11-35 11 44 Plastics or Rubber Manufacturing Facility,,,,,23-13 21 25 Structural Support for Masonry,,,"13-51 27 15 Linear Accelerator Component Room, Healthcare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 70 Entertainment and Recreational Equipment,11-35 11 47 Nonmetallic Mineral Product Manufacturing Facility,,,,,23-13 21 25 11 Lintels,,,"13-51 27 17 Linear Accelerator Entrance Maze, Healthcare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 70 10 Theater and Stage Equipment,11-35 11 51 Cement/Rock/Gravel Plant,,,,,23-13 21 25 11 11 Lintel Former Units,,,"13-51 27 19 Linear Accelerator Room, Healthcare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 70 20 Musical Equipment,11-35 11 53 Primary Metal Manufacturing Facility,,,,,23-13 21 25 13 Wall Connectors and Starters,,,"13-51 27 21 Linear Accelerator Control Room, Healthcare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 70 50 Athletic Equipment,11-35 11 56 Fabricated Metal Product Manufacturing Facility,,,,,23-13 21 25 15 Supports for Masonry,,,"13-51 27 23 Radioactive Waste Storage Room, Healthcare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 70 60 Recreational Equipment,11-35 11 59 Machinery Manufacturing Facility,,,,,23-13 21 25 15 11 Masonry Angles,,,13-51 27 25 Nuclear Medicine Dose Calibration Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 90 Other Equipment,11-35 11 62 Guided Missile Production Facility,,,,,23-13 21 25 15 11 11 Masonry Shelf Angles,,,13-51 27 27 Nuclear Medicine Scanning Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 90 10 Solid Waste Handling Equipment,11-35 11 65 Weapons and Spares Production Facility,,,,,23-13 21 25 15 13 Gussets,,,"13-51 27 29 Nuclear Medicine Patient ""Hot"" Waiting Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 90 30 Agricultural Equipment,11-35 11 68 Computer or Electronics Manufacturing Facility,,,,,23-13 21 27 Ancillary Products for Masonry,,,13-51 27 31 Patient Dose/Thyroid Uptake Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 90 40 Horticultural Equipment,11-35 11 71 Electrical Equipment or Appliance Manufacturing Facility,,,,,23-13 21 27 11 Embedded Flashing,,,13-51 27 33 Radiation Dosimetry Planning Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 10 90 60 Decontamination Equipment,11-35 11 74 Transportation Manufacturing Facility,,,,,23-13 21 27 13 Cavity Closers,,,13-51 27 35 Radiopharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 20 Furnishings,11-35 11 77 Furniture Manufacturing Facility,,,,,23-13 21 27 15 Cavity Weep and Ventilation Units,,,13-51 27 37 Radium Cart Holding Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 20 10 Fixed Furnishings,11-35 11 81 Light Manufacturing Facility,,,,,23-13 21 27 15 11 Cavity Weeps,,,"13-51 27 38 Radiation Therapy, Mold Fabrication Shop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 20 10 10 Fixed Art,11-35 11 83 Heavy Manufacturing Facility,,,,,23-13 21 27 15 13 Cavity Vents,,,13-51 27 39 Sealed Source Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 20 10 20 Window Treatments,11-35 11 86 High-Tech Manufacturing Facility,,,,,23-13 21 27 15 15 Cavity Drainage Material,,,13-51 31 00 Heart and Lung Diagnostic and Treatment Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 20 10 30 Casework,11-35 11 89 Installation Maintenance and Repair Production Facility,,,,,23-13 21 27 17 Masonry Joint Materials,,,13-51 31 11 Brachytherapy Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 20 10 70 Fixed Multiple Seating,11-35 15 00 Agricultural Facility,,,,,23-13 21 27 17 11 Masonry Control Joints,,,13-51 31 13 Cardiac Catheter Instrument Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 20 10 90 Other Fixed Furnishings,11-35 15 11 Agribusiness Facility,,,,,23-13 21 27 17 13 Masonry Expansion Joints,,,13-51 31 15 Cardiac Catheter System Component Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 20 50 Movable Furnishings,11-35 15 15 Crop Farm,,,,,23-13 21 27 19 Airbricks,,,13-51 31 17 Cardiac Catheterization Control Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 20 50 10 Movable Art,11-35 15 19 Ornamental Crop Farm,,,,,"23-13 23 00 Mechanical Fasteners, Adhesives, and Sealants",,,13-51 31 19 Cardiac Catheterization Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 20 50 30 Furniture,11-35 15 23 Orchard,,,,,23-13 23 11 Mechanical Fasteners,,,13-51 31 21 Cardiac Electrophysiology Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 20 50 40 Accessories,11-35 15 27 Livestock Farm,,,,,23-13 23 11 11 Cast In Anchorages,,,13-51 31 23 Cardiac Testing Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 20 50 60 Movable Multiple Seating,11-35 15 31 Apiary and Other Related Structures,,,,,23-13 23 11 11 11 Rail Anchors,,,13-51 31 25 Echocardiograph Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-05 20 50 90 Other Movable Furnishings,11-35 15 35 Slaughterhouse and Processing Facility,,,,,23-13 23 11 11 13 Screw Cases,,,13-51 31 27 EKG Testing Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 00 00 Special Construction and Demolition,11-35 15 39 Forestry and Timber Fabrication Facility,,,,,23-13 23 11 11 15 Anchor Blocks,,,13-51 31 29 Extended Pulmonary Function Testing Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 Special Construction,11-35 15 43 Green House,,,,,23-13 23 11 11 17 Cast In Anchorages Inserts,,,13-51 31 31 Microvascular Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
